"entity_ID" "noendem" "geo_entity" "entity_class" "longitude" "latitude" "area" "area_ratio" "extent_ratio" "no_polygons" "dist" "botanical_continent" "biome" "geology" "age_Ma" "native_proc" "naturalized_proc" "CHELSA_annual_mean_Temp" "CHELSA_annual_Prec" "GDP" "Popdensity" "HI" "HF" "elev_range" "nfix" "endem"
"1" 1 0 "Ashmore Reef" "Island" 123.078301 -12.265762 17.83602 0.530138842634175 0.347750845673066 6 344.714 "AUSTRALASIA" "Tropical & Subtropical Dry Broadleaf Forests" "nondev" NA 23 4 27.9 1395 0 0.00334 NA NA 3 "nfix" 0
"2" 2 0 "Cartier Island" "Island" 123.554088 -12.531172 0.049938 1 1 1 290.436 "AUSTRALASIA" "Tropical & Subtropical Dry Broadleaf Forests" "nondev" NA 1 0 27.9 1383 0 0.00334 NA NA 0 "nfix" 0
"3" 3 8 "Christmas Island" "Island" 105.636553 -10.485344 139.609934 1 1 1 1309.619 "ASIA-TROPICAL" "Tropical & Subtropical Moist Broadleaf Forests" "dev" 20 200 179 25.39036 2177.77711 0 15.54492 59.70588 24.97484 304 "nfix" 0
"4" 4 1 "Coral Sea Islands Territory" "Island" 152.124754 -19.014715 3.950835 0.289246450433896 0.00586526062973631 14 315.394 "AUSTRALASIA" "Temperate Broadleaf & Mixed Forests" "dev" NA 21 5 24.01429 1085.28571 0 0.11496 NA NA 4 "nfix" 0
"5" 125 2 "Cocos (Keeling) Main Atoll" "Island" 96.873309 -12.163597 20.607283 0.502383890200372 0.652400611964812 9 1648.199 "ASIA-TROPICAL" "Tropical & Subtropical Moist Broadleaf Forests" "dev" 0.007 65 56 26.49571 1900.45714 0 53.8659 21 8.375 10 "nfix" 0
"6" 126 3 "Cocos (Keeling) North Keeling Island" "Island" 96.824122 -11.832576 3.358914 1 1 1 1624.882 "ASIA-TROPICAL" "Tropical & Subtropical Moist Broadleaf Forests" "dev" NA 33 6 NA NA 0 0 NA NA 7 "nfix" 0
"7" 127 5 "Lord Howe Island" "Island" 159.07716 -31.553015 17.465795 1 1 1 570.358 "AUSTRALASIA" "Tropical & Subtropical Moist Broadleaf Forests" "dev" 6 212 251 19.48333 1757.07143 0 22.03594 NA 13.56522 142 "nfix" 3
"8" 128 4 "Norfolk Island" "Island" 167.952266 -29.032579 37.87656 1 1 1 1393.065 "AUSTRALASIA" "Tropical & Subtropical Moist Broadleaf Forests" "dev" 2.685 137 265 19.23704 1444.62963 0 63.88763 NA NA 227 "nfix" 2
"9" 129 1 "Macquarie Island" "Island" 158.863935 -54.628404 134.305203 1 1 1 1947.991 "ANTARCTIC" "Tundra" "dev" 9.4 50 7 3.95179 1096.24615 8e-04 0 NA NA 330 "nfix" 0
"10" 131 4 "Corvo" "Island" -31.105223 39.699105 17.115304 1 1 1 1853.135 "AFRICA" "Temperate Broadleaf & Mixed Forests" "dev" 0.73 98 184 16.8725 1621.275 0.05149 25.72897 6 NA 567 "nfix" 0
"11" 132 5 "Flores" "Island" -31.20249 39.44195 140.982426 1 1 1 1865.365 "AFRICA" "Temperate Broadleaf & Mixed Forests" "dev" 2.16 120 289 15.71549 1758.25352 0.40306 31.66903 7.34286 NA 815 "nfix" 0
"12" 133 4 "Faial" "Island" -28.701332 38.578217 173.090853 1 1 1 1658.813 "AFRICA" "Temperate Broadleaf & Mixed Forests" "dev" 0.73 124 391 15.99721 1110.21514 1.11725 86.18206 42.40693 27.13765 911 "nfix" 0
"13" 134 5 "Pico" "Island" -28.333573 38.469473 444.974158 1 1 1 1611.87 "AFRICA" "Temperate Broadleaf & Mixed Forests" "dev" 0.25 133 328 15.20211 1124.28163 0.41435 30.85061 36.0186 23.30854 2066 "nfix" 0
